name,time,Capabilities,IfRepeater,RSSI,RX-Errors,RX-KBytes,RX-Packets,RX-Phyrate,RX_bitRate,State,TX-Errors,TX-KBytes,TX-Packets,TX-Phyrate,TX_bitRate,apmac,deviceaddress,interface
ap-station_last4,2019-05-02T00:09:16+02:00," N 1X1 SGI20 SGI40",0,-52,0,36,401,81,0,14,0,1224,1999,135,37.3333,A491B16F74AD,DEF3,ap1
ap-station_last4,2019-05-02T00:09:31+02:00," AC 1X1 SGI20 SGI40 80MHZ",0,-54,0,159,935,433,0,14,0,931,2297,433,2763.2,A491B16F74AD,C865,ap1
ap-station_last4,2019-05-02T00:09:31+02:00," AC 1X1 SGI20 SGI40 80MHZ DB",0,-61,0,688,4936,293,156.8,14,0,9077,8729,293,2923.2,A491B16F74AD,7D82,ap1
ap-station_last4,2019-05-02T00:09:31+02:00," AC 2X2 SGI20 SGI40 80MHZ DB",0,-55,0,94,810,780,0,14,0,1242,1728,867,2714.13,A491B16F74AD,8F68,ap1
ap-station_last4,2019-05-02T00:09:31+02:00," N 1X1 SGI20 SGI40",0,-52,0,36,402,150,22.4,14,0,1229,2010,150,2808,A491B16F74AD,DEF3,ap1
ap-station_last4,2019-05-02T00:09:46+02:00," AC 1X1 SGI20 SGI40 80MHZ",0,-54,0,159,935,433,0,14,0,931,2297,433,0,A491B16F74AD,C865,ap1
ap-station_last4,2019-05-02T00:09:46+02:00," AC 1X1 SGI20 SGI40 80MHZ DB",0,-61,0,688,4936,293,0,14,0,9077,8729,293,0,A491B16F74AD,7D82,ap1
ap-station_last4,2019-05-02T00:09:46+02:00," N 1X1 SGI20 SGI40",0,-52,0,36,402,150,0,14,0,1229,2010,150,0,A491B16F74AD,DEF3,ap1
ap-station_last4,2019-05-02T00:10:01+02:00," AC 1X1 SGI20 SGI40 80MHZ",0,-54,0,159,936,433,22.4,14,0,936,2310,433,2882.67,A491B16F74AD,C865,ap1
ap-station_last4,2019-05-02T00:10:01+02:00," AC 1X1 SGI20 SGI40 80MHZ DB",0,-63,0,691,4950,117,1722.67,14,0,9089,8752,325,6486.4,A491B16F74AD,7D82,ap1
ap-station_last4,2019-05-02T00:10:01+02:00," N 1X1 SGI20 SGI40",0,-52,0,36,402,150,0,14,0,1235,2021,150,2800.53,A491B16F74AD,DEF3,ap1
ap-station_last4,2019-05-02T00:11:31+02:00," AC 1X1 SGI20 SGI40 80MHZ",0,-54,0,163,959,263,407.467,14,0,957,2365,433,3037.87,A491B16F74AD,C865,ap1
ap-station_last4,2019-05-02T00:11:31+02:00," AC 1X1 SGI20 SGI40 80MHZ DB",0,-61,0,704,5063,293,608,14,0,9288,8952,293,3548.27,A491B16F74AD,7D82,ap1
ap-station_last4,2019-05-02T00:11:31+02:00," AC 2X2 SGI20 SGI40 80MHZ DB",0,-54,0,94,812,867,0,14,0,1265,1782,867,2714.13,A491B16F74AD,8F68,ap1
ap-station_last4,2019-05-02T00:11:31+02:00," N 1X1 SGI20 SGI40",0,-52,0,36,403,150,0,14,0,1253,2063,135,2763.2,A491B16F74AD,DEF3,ap1
ap-station_last4,2019-05-02T00:11:46+02:00," AC 1X1 SGI20 SGI40 80MHZ",0,-54,0,163,959,433,0,14,0,957,2365,433,0,A491B16F74AD,C865,ap1
ap-station_last4,2019-05-02T00:11:46+02:00," AC 1X1 SGI20 SGI40 80MHZ DB",0,-61,0,704,5063,293,0,14,0,9288,8952,293,0,A491B16F74AD,7D82,ap1
ap-station_last4,2019-05-02T00:11:46+02:00," AC 2X2 SGI20 SGI40 80MHZ DB",0,-54,0,94,812,867,0,14,0,1265,1782,867,0,A491B16F74AD,8F68,ap1
ap-station_last4,2019-05-02T00:11:46+02:00," N 1X1 SGI20 SGI40",0,-52,0,36,403,150,0,14,0,1253,2063,135,0,A491B16F74AD,DEF3,ap1
ap-station_last4,2019-05-02T00:12:01+02:00," AC 1X1 SGI20 SGI40 80MHZ",0,-54,0,163,960,433,24.5333,14,0,962,2377,433,2837.87,A491B16F74AD,C865,ap1
