packet,delta,bytes
1554,6,1024
1555,6,1024
1556,7,1024
1557,7,1024
1558,6,1024
1559,6,1024
1560,7,1024
1561,7,1024
1562,9,1024
1563,7,1024
1564,7,1024
1565,6,1024
1566,6,1024
1567,6,1024
1568,6,1024
1569,7,1024
1570,7,1024
1571,7,1024
1572,6,1024
1573,6,1024
1574,6,1024
1575,7,1024
1576,7,1024
1577,7,1024
1578,6,1024
1579,7,1024
1580,7,1024
1581,7,1024
1582,6,1024
1583,7,1024
1584,6,1024
1585,10,1024
1586,7,1024
1587,7,1024
1588,9,1024
1589,9,1024
1590,7,1024
1591,7,1024
1592,7,1024
1593,7,1024
1594,7,1024
1595,7,1024
1596,6,1024
1597,6,1024
1598,6,1024
1599,6,1024
1600,6,1024
1601,9,1024
1602,7,1024
1603,7,1024
1604,6,1024
1605,7,1024
1606,6,1024
1607,5,1024
1608,6,1024
1609,6,1024
1610,6,1024
1611,6,1024
1612,6,1024
1613,6,1024
1614,6,1024
1615,6,1024
1616,6,1024
1617,19,1024
1618,7,1024
1619,7,1024
1620,7,1024
1621,7,1024
1622,6,1024
1623,6,1024
1624,6,1024
1625,6,1024
1626,6,1024
1627,26206,1024
1628,9,1024
1629,7,1024
1630,7,1024
1631,7,1024
1632,7,1024
1633,6,1024
1634,6,1024
1635,7,1024
1636,6,1024
1637,6,1024
1638,7,1024
1639,6,1024
1640,7,1024
1641,6,1024
1642,6,1024
1643,6,1024
1644,6,1024
1645,6,1024
1646,11,1024
1647,7,1024
1648,7,1024
1649,7,1024
1650,7,1024
1651,7,1024
1652,6,1024
1653,7,1024
1654,6,1024
1655,7,1024
1656,7,1024
1657,7,1024
1658,6,1024
1659,6,1024
1660,7,1024
1661,6,1024
1662,7,1024
1663,6,1024
1664,6,1024
1665,7,1024
1666,7,1024
1667,7,1024
1668,6,1024
1669,6,1024
1670,7,1024
1671,7,1024
1672,6,1024
1673,6,1024
1674,6,1024
1675,7,1024
1676,7,1024
1677,7,1024
1678,6,1024
1679,6,1024
1680,7,1024
1681,6,1024
1682,6,1024
1683,10593,1024
1684,9,1024
1685,8,1024
1686,7,1024
1687,6,1024
1688,7,1024
1689,7,1024
1690,6,1024
1691,6,1024
1692,6,1024
1693,6,1024
1694,7,1024
1695,7,1024
1696,6,1024
1697,6,1024
1698,7,1024
1699,7,1024
1700,6,1024
1701,7,1024
1702,7,1024
1703,7,1024
1704,7,1024
1705,7,1024
1706,7,1024
1707,6,1024
1708,6,1024
1709,7,1024
1710,7,1024
1711,7,1024
1712,6,1024
1713,6,1024
1714,6,1024
1715,7,1024
1716,10,1024
1717,7,1024
1718,7,1024
1719,7,1024
1720,6,1024
1721,6,1024
1722,7,1024
1723,6,1024
1724,6,1024
1725,6,1024
1726,7,1024
1727,6,1024
1728,7,1024
1729,7,1024
1730,7,1024
1731,6,1024
1732,9,1024
1733,7,1024
1734,6,1024
1735,6,1024
1736,6,1024
1737,7,1024
1738,20170,1024
1739,9,1024
1740,8,1024
1741,6,1024
1742,6,1024
1743,6,1024
1744,6,1024
1745,7,1024
1746,6,1024
1747,6,1024
1748,6,1024
1749,6,1024
1750,6,1024
1751,7,1024
1752,6,1024
1753,7,1024
1754,6,1024
1755,6,1024
1756,7,1024
1757,6,1024
1758,6,1024
1759,6,1024
1760,6,1024
1761,7,1024
1762,7,1024
1763,6,1024
1764,7,1024
1765,6,1024
1766,7,1024
1767,6,1024
1768,7,1024
1769,7,1024
1770,7,1024
1771,6,1024
1772,7,1024
1773,6,1024
1774,7,1024
1775,6,1024
1776,6,1024
1777,6,1024
1778,6,1024
1779,6,1024
1780,6,1024
1781,6,1024
1782,7,1024
1783,7,1024
1784,6,1024
1785,6,1024
1786,6,1024
1787,6,1024
1788,7,1024
1789,6,1024
1790,7,1024
1791,7,1024
1792,6,1024
1793,6,1024
1794,10,1024
1795,9,1024
1796,7,1024
1797,6,1024
1798,6,1024
1799,7,1024
1800,6,1024
1801,6,1024
1802,6,1024
1803,7,1024
1804,7,1024
1805,6,1024
1806,6,1024
1807,7,1024
1808,7,1024
1809,6,1024
1810,6,1024
1811,6,1024
1812,7,1024
1813,6,1024
1814,6,1024
1815,7,1024
1816,10,1024
1817,6,1024
1818,7,1024
1819,6,1024
1820,6,1024
1821,6,1024
1822,6,1024
1823,6,1024
1824,7,1024
1825,8,1024
1826,7,1024
1827,6,1024
1828,6,1024
1829,7,1024
1830,7,1024
1831,7598,1024
1832,10,1024
1833,8,1024
1834,7,1024
1835,7,1024
1836,7,1024
1837,6,1024
1838,6,1024
1839,6,1024
1840,7,1024
1841,6,1024
1842,6,1024
1843,7,1024
1844,7,1024
1845,6,1024
1846,6,1024
1847,7,1024
1848,6,1024
1849,6,1024
1850,6,1024
1851,6,1024
1852,7,1024
1853,6,1024
1854,7,1024
1855,6,1024
1856,6,1024
1857,6,1024
1858,6,1024
1859,6,1024
1860,7,1024
1861,6,1024
1862,7,1024
1863,6,1024
1864,7,1024
